#      time         order        boil_q_1     boil_q_2     chil_q1      chil_q2      loccool      locheat      qdomwat   
  336.0000000       1.0000       7736.1       0.0000      4.20117E-11   0.0000       0.0000       21828.       0.0000    
  336.0277111       1.0000       7742.4       0.0000      4.20117E-11   0.0000       0.0000       21845.       0.0000    
  336.0554222       1.0000       7747.8       0.0000      4.20117E-11   0.0000       0.0000       21862.       0.0000    
  336.0682198       1.0000       7750.2       0.0000      4.20117E-11   0.0000       0.0000       21870.       0.0000    
  336.0682198       1.0000       7750.2       0.0000      4.20117E-11   0.0000       0.0000       21870.       0.0000    
  336.0903887       1.0000       7753.3       0.0000      4.20117E-11   0.0000       0.0000       21883.       0.0000    
  336.1125575       1.0000       7756.3       0.0000      4.20117E-11   0.0000       0.0000       21896.       0.0000    
  336.1568953       1.0000       7762.4       0.0000      4.20117E-11   0.0000       0.0000       21923.       0.0000    
  336.2455708       1.0000       7774.4       0.0000      4.20117E-11   0.0000       0.0000       21974.       0.0000    
  336.4229219       1.0000       7798.4       0.0000      4.20117E-11   0.0000       0.0000       22073.       0.0000    
  336.7776240       1.0000       7846.1       0.0000      4.20117E-11   0.0000       0.0000       22256.       0.0000    
  337.0000000       1.0000       7875.8       0.0000      4.20117E-11   0.0000       0.0000       22367.       0.0000    
  337.0000000       1.0000       7875.8       0.0000      4.20117E-11   0.0000       0.0000       22367.       0.0000    
  337.2837617       1.0000       7907.4       0.0000      4.20117E-11   0.0000       0.0000       22500.       0.0000    
  337.5675234       1.0000       7936.6       0.0000      4.20117E-11   0.0000       0.0000       22627.       0.0000    
  338.0000000       1.0000       7980.6       0.0000      4.20117E-11   0.0000       0.0000       22809.       0.0000    
  338.0000000       1.0000       7980.6       0.0000      4.20117E-11   0.0000       0.0000       22809.       0.0000    
  338.2270094       1.0000       8003.5       0.0000      4.20117E-11   0.0000       0.0000       22901.       0.0000    
  338.4540187       1.0000       8026.4       0.0000      4.20117E-11   0.0000       0.0000       22990.       0.0000    
  338.9080375       1.0000       8071.8       0.0000      4.20117E-11   0.0000       0.0000       23159.       0.0000    
  339.0000000       1.0000       8081.0       0.0000      4.20117E-11   0.0000       0.0000       23193.       0.0000    
